LAU_NAME,total_population,popul_bg,popul_turkish,popul_roma,popul_other,percentage_bg,percentage_turkish,percentage_roma,percentage_other,total_minorities,percentage_minorities,total_crime,crime_per_1000,pop_0_4,pop_5_9,pop_10_14,pop_15_19,pop_children_total,total_schools,schools_1000_children,total_teachers,teachers_1000_children,total_kindergartens,kindergartens_1000,children_kindergarten,children_kg_rate,pop_0_6,pop_7_10,pop_11_13,pop_14_19,pop_school_age,total_students,total_school_enrolment,1_4_grade,1_4_grade_enrolment,5_7_grade,5_7_grade_enrolment,8_12_grade,8_12_grade_enrolment,pop_15,pop_19,12_grade_graduates,12_grade_graduates_rate,8_grade_graduates,8_grade_graduate_rate,hospitals,hospitals_1000,hospital_beds,hospital_beds_1000,employment_rate,unemployment_rate,tertiary_educ_rate,secondary_educ_rate,middle_educ_rate,primary_educ_rate,illiteracy_rate,NUTS_NAME,average_salary,deprivation_rate,avg_household_size,pop_over_65,number_doctors,doctors_1000,rate_city_pop,rate_village_pop,rate_lang_roma,rate_lang_non_bg
Белоградчик,5049,3825,4,1052,14,75.75757576,0.07922360864,20.83580907,0.2772826302,1070,21.19231531,16,3.248167954,193,203,258,233,887,3,4.87804878,49,79.67479675,1,3.676470588,142,52.20588235,272,175,147,293,615,541,87.96747967,174,99.42857143,157,106.8027211,210,71.67235495,48,45,19,42.22222222,46,102.2222222,1,0.1980590216,55,10.89324619,69.2,31.7,15.26062382,53.317982,17.98199707,13.43939711,0.7021276596,Видин,13769,25.4,2.2,1539,23,4.62137717,81.49788217,18.50211783,20.75658546,21.0932858
Бойница,763,737,1,2,14,96.59239843,0.131061599,0.2621231979,1.834862385,17,2.228047182,5,7.077326343,13,9,10,14,46,1,34.48275862,10,344.8275862,1,58.82352941,25,147.0588235,17,7,6,16,29,65,224.137931,38,542.8571429,27,450,0,0,3,4,0,0,3,75,0,0,0,0,51.6,6.9,7.64075067,54.69168901,32.97587131,4.691689008,0.4048582996,Видин,13769,25.4,1.7,423,0,0,0,100,0.2621231979,2.49017038
Брегово,3926,3796,2,44,25,96.68874172,0.05094243505,1.120733571,0.6367804381,71,1.808456444,10,2.445236882,115,118,107,137,477,1,3.236245955,21,67.96116505,1,5.952380952,87,51.78571429,168,86,54,169,309,162,52.42718447,54,62.79069767,33,61.11111111,75,44.37869822,25,30,16,53.33333333,20,66.66666667,0,0,0,0,58.9,31.8,15.85949973,56.25332624,17.13677488,10.75039915,5.145474138,Видин,13769,25.4,2.2,1546,3,0.7641365257,49.4832367,50.5167633,2.012226184,2.649006623
Видин,47847,43836,36,2575,237,91.61702928,0.07523982695,5.381737622,0.4953288607,2848,5.95230631,222,4.648149309,1500,1799,2146,2125,7570,15,2.702702703,458,85.36812675,8,3.628117914,1342,60.861678,2205,1499,1293,2573,5365,5147,95.93662628,1455,97.06470981,1270,98.22119103,2422,94.13136417,466,366,395,107.9234973,432,118.0327869,1,0.02089995193,270,5.642987021,65.5,14.5,21.33342097,57.17540861,13.63437185,7.856798563,0.5340097457,Видин,13769,25.4,2.2,13722,239,5.002055162,80.40338943,19.59661057,5.402637574,6.142495872
Грамада,1345,1297,2,20,10,96.43122677,0.1486988848,1.486988848,0.7434944238,32,2.379182156,9,6.840148699,38,38,39,33,148,1,10,9,90,1,20.83333333,23,47.91666667,48,37,25,38,100,54,54,26,70.27027027,28,112,0,0,13,2,0,0,5,250,0,0,0,0,72.9,38,10.17733231,56.8234387,24.20971473,8.789514264,0.3921568627,Видин,13769,25.4,1.9,688,0,0,72.08569628,27.91430372,0.5204460967,1.338289963
Димово,4810,4257,7,365,11,88.5031185,0.1455301455,7.588357588,0.2286902287,383,7.962577963,32,6.694386694,244,200,302,245,991,3,4.566210046,50,76.10350076,3,8.982035928,168,50.2994012,334,162,197,298,657,479,72.90715373,155,95.67901235,189,95.93908629,135,45.30201342,33,48,6,12.5,52,108.3333333,0,0,0,0,44.2,34.5,8.154602324,49.50848972,28.70866845,13.6282395,1.25056844,Видин,13769,25.4,2.3,1500,1,0.2079002079,18.6382655,81.3617345,6.798336798,7.276507277
Кула,3292,3171,2,67,8,96.32442284,0.06075334143,2.035236938,0.2430133657,77,2.339003645,10,3.159173755,104,85,115,118,422,1,3.50877193,29,101.754386,1,7.299270073,61,44.52554745,137,77,70,138,285,200,70.1754386,62,80.51948052,61,87.14285714,77,55.79710145,31,26,9,34.61538462,26,100,0,0,0,0,71.1,24.4,13.66085578,59.90491284,19.87321712,6.561014263,1.056338028,Видин,13769,25.4,2.1,1217,1,0.3037667072,72.6172466,27.3827534,1.761846902,2.308626974
Макреш,1067,998,1,54,3,93.53327085,0.09372071228,5.060918463,0.2811621368,58,5.435801312,6,5.623242737,23,28,28,32,111,1,12.65822785,7,88.60759494,1,31.25,24,75,32,25,19,35,79,20,25.3164557,8,32,12,63.15789474,0,0,7,4,0,0,5,125,0,0,0,0,28.2,11.6,7.922705314,69.66183575,15.74879227,6.666666667,1.171875,Видин,13769,25.4,1.8,531,0,0,0,100,4.404873477,4.873477038
Ново село,2375,2297,2,20,14,96.71578947,0.08421052632,0.8421052632,0.5894736842,36,1.515789474,5,1.936842105,72,66,79,99,316,1,4.545454545,16,72.72727273,1,10.41666667,60,62.5,96,49,47,124,220,149,67.72727273,27,55.10204082,36,76.59574468,86,69.35483871,18,13,5,38.46153846,16,123.0769231,0,0,0,0,58,26.4,12.1983326,55.50680123,24.4405441,7.854322071,0.487804878,Видин,13769,25.4,2.2,1036,0,0,0,100,0.8421052632,1.642105263
Ружинци,3299,2687,7,504,2,81.44892392,0.2121855108,15.27735677,0.06062443165,513,15.55016672,26,7.820551682,157,155,210,190,712,3,5.952380952,44,87.3015873,4,19.23076923,117,56.25,208,145,115,244,504,443,87.8968254,136,93.79310345,106,92.17391304,201,82.37704918,37,37,19,51.35135135,43,116.2162162,0,0,0,0,60.6,44.7,7.440957619,48.78680039,26.39922355,17.37301844,5.054509415,Видин,13769,25.4,2.3,978,1,0.3031221582,0,100,15.48954229,15.79266444
